22:13:17 | WARNING  | TICK:0118 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0118 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0119 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0119 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0120 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0120 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0121 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0121 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0122 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0122 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0123 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0123 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0124 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0124 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0125 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0125 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0126 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0126 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0127 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0127 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0128 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0128 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0129 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0129 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0130 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0130 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0131 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0131 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0132 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0132 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0133 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0133 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0134 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0134 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0135 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0135 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0136 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0136 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0137 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0137 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0138 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0138 | Agent tank_1_2 returned error: 500
22:13:17 | WARNING  | TICK:0139 | Agent tank_1_1 returned error: 500
22:13:17 | WARNING  | TICK:0139 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0140 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0140 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0141 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0141 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0142 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0142 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0143 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0143 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0144 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0144 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0145 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0145 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0146 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0146 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0147 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0147 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0148 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0148 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0149 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0149 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0150 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0150 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0151 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0151 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0152 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0152 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0153 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0153 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0154 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0154 | Agent tank_1_2 returned error: 500
22:13:18 | WARNING  | TICK:0155 | Agent tank_1_1 returned error: 500
22:13:18 | WARNING  | TICK:0155 | Agent tank_1_2 returned error: 500
