14:27:22 | DEBUG    | TICK:0024 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0024 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0024 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0025 | Tick 25 started
14:27:22 | DEBUG    | TICK:0025 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0025 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0025 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0025 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0026 | Tick 26 started
14:27:22 | DEBUG    | TICK:0026 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0026 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0026 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0026 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0027 | Tick 27 started
14:27:22 | DEBUG    | TICK:0027 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0027 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0027 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0027 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0028 | Tick 28 started
14:27:22 | DEBUG    | TICK:0028 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0028 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0028 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0028 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0029 | Tick 29 started
14:27:22 | DEBUG    | TICK:0029 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0029 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0029 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0029 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0030 | Tick 30 started
14:27:22 | DEBUG    | TICK:0030 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0030 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0030 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0030 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0031 | Tick 31 started
14:27:22 | DEBUG    | TICK:0031 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0031 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0031 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0031 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0032 | Tick 32 started
14:27:22 | DEBUG    | TICK:0032 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0032 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0032 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0032 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0033 | Tick 33 started
14:27:22 | DEBUG    | TICK:0033 | Team 1 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0033 | Team 2 has 5 tanks alive
14:27:22 | DEBUG    | TICK:0033 | Team 1 has 5 tanks alive
